"level","created","updated","url","user","id","group","tags","quote","text","relay link","direct link"
"0","2023-04-24T15:19:12","2023-04-24T15:21:56","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","Janneke_Adema","Xh7H6uKzEe2Kbw-oio89UQ","__world__",,"12Fragment 1","https://ecologicalrewritings.pubpub.org/pub/mpwpmwqb#n5h6dvd2b05","https://hyp.is/Xh7H6uKzEe2Kbw-oio89UQ","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:Xh7H6uKzEe2Kbw-oio89UQ"
"0","2021-11-11T00:45:57","2021-11-17T23:00:38","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","diegue_frege","u_WhgEKIEeyb4CORUVjH3Q","__world__",,"without as much as depicting violence qua vio-lence,","¿Qué caracteriza a la violencia? ¿Por qué estas imágenes representarían cierta violencia, y quién sería el perpetrador de tal violencia? ¿Solo el ser humano puede efectuar violencia, o existen otros casos en la naturaleza donde se da comportamiento violento? ¿Es el sufrimiento un buen criterio para determinar la violencia? ¿Debe haber agentes involucrados? Creo que estas preguntas son fundamentales para elaborar respecto a la extinción, pues queda abierta la pregunta de tal evento entra como un acontecimiento violento.","https://hyp.is/u_WhgEKIEeyb4CORUVjH3Q","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:u_WhgEKIEeyb4CORUVjH3Q"
"0","2021-11-11T01:33:47","2021-11-11T01:33:47","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","juanp","anUy2EKPEeyc0jfpRGTH-Q","__world__",,"On a darker side, and similar to other neighboring towns (or, in Yiddish, the shtetls), it was the site of horrific pogroms that decimated the Jewish population. During the civil war, many of Chernobyl’s Jews were burnt alive by the Cossacks in a local synagogue.17 Under the German occupation that began in 1941, the surviving Jewish residents of Chernobyl were shot en masse right at the cemetery, where their ancestors were buried and where, on the site of their collective grave, a nondescript tombstone commemorating the atrocities was erected after the war. Symbolically, therefore, Chernobyl names a catastrophe before catastrophe, the one overlaying and overwriting the other. That “other Chernobyl” is, to this day, hidden, buried, forgotten, now also under piles of radioactive debris.","The falling apart and the fallout of the already incomplete. (p.70)","https://hyp.is/anUy2EKPEeyc0jfpRGTH-Q","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:anUy2EKPEeyc0jfpRGTH-Q"
"0","2021-11-11T01:13:50","2021-11-11T01:19:29","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","juanp","oMx1VkKMEeyw2fNQ4w2CAQ","__world__",," vast majority of those who lived through it took cognizance of what had transpired only after the event, in a way strikingly analogous to how the complex of occurrences that goes under the name “Chernobyl” was existentially interpreted, après coup.","Igual que la radiación y sus efectos, las implicaciones de sentido se notaron después de notar el acontecimiento. ¿Qué tanto afecta la búsqueda de una explicación de significado en un sentido técnico?","https://hyp.is/oMx1VkKMEeyw2fNQ4w2CAQ","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:oMx1VkKMEeyw2fNQ4w2CAQ"
"0","2021-11-11T01:18:13","2021-11-11T01:18:13","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","inespas","PgiHBkKNEey-P5v0tKuzWw","__world__",,"What about other kinds of exposure—for instance, that of photographs to light or of photograms to baths of chemicals that add unique visual effects?","Quizás podemos pensar en la *exposición* como una dinámica de relaciones, en vez de pensar que algo *se expone* a otra cosa y ya.","https://hyp.is/PgiHBkKNEey-P5v0tKuzWw","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:PgiHBkKNEey-P5v0tKuzWw"
"0","2021-11-11T01:13:59","2021-11-11T01:13:59","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","alexscopelli","pieKSkKMEeyPZ3u5RMfpiA","__world__",,"Unperceivable and unannounced, the event of Chernobyl with its wide repercussions was, right after it happened, indistinguishable from the course of everyday life. The state of exception it provoked was not exceptional, from the standpoint of whoever lived through it. Everything was changed unnoticed and unnoted, at least initially.","*Die unheimlich* después del accidente, de la supuesta ""crisis"". Las estructuras arcaicas colapsan y, al menos al principio, nada cambia. Pareciera que están ya caducas y, a pesar de ello, lo una ves habitable se vuelve inhabitable. Grandes estructura y grandes narrativas, ya no podemos tomarlas tan seriamente, pero no podemos ignorar el eventual estruendo de cuando caen.","https://hyp.is/pieKSkKMEeyPZ3u5RMfpiA","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:pieKSkKMEeyPZ3u5RMfpiA"
"0","2021-11-11T01:13:38","2021-11-11T01:13:38","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","inespas","mar0PEKMEeyjL-NQbAZN7A","__world__",,"heir exposure to the world is of one piece with learning from the world and giving plenty of things back to it. Only our, human, expo-sure betokens pure vulnerability, passivity, helplessness","Aquí, podemos ver que se están utilizando dos significados de la *exposición*: una en referencia a la radiación, y otra en este sentido de la exposición de las plantas al mundo","https://hyp.is/mar0PEKMEeyjL-NQbAZN7A","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:mar0PEKMEeyjL-NQbAZN7A"
"0","2021-11-11T01:11:10","2021-11-11T01:11:10","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","JimenaBalcazar","QWjeakKMEeyG5E-euPFmsg","__world__",,"all that seemed to be exactly the same as yesterday, in spite of being radically transformed. It is when things are in the clear, at their most obvious and mundane, that they are totally obscure, relegated to the dark by our own sense of obviousness and absolute clarity. ","¿Qué ocurre en el momento en el que lo familiar se convierte en lo más profundamente extraño, en lo más ajeno?, ¿Es que acaso alguna vez podremos suponer un conocimiento profundo de aquello que consideramos como mundano? ","https://hyp.is/QWjeakKMEeyG5E-euPFmsg","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:QWjeakKMEeyG5E-euPFmsg"
"0","2021-11-11T01:09:00","2021-11-11T01:09:00","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","juanp","89_8-kKLEey-uitbnULkUw","__world__",,"If practical conscious-ness lets us move quite effortlessly in our physical milieu, then the collapse of our imme-diate environment necessarily results in the detonation of consciousness. That is when thinking really begins.","¿Qué relación hay entre el ambiente físico y el pensamiento que surge de este? ¿qué pasa con el pensamiento y la conciencia cuando lo que nos rodea se ve amenazado de una forma invisible?","https://hyp.is/89_8-kKLEey-uitbnULkUw","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:89_8-kKLEey-uitbnULkUw"
"0","2021-11-11T01:07:09","2021-11-11T01:07:09","https://clientes.programando.li/ibero/chernobil/chernobil.pdf","IsabelRosiles","sjD5-EKLEeyG3EMhP3-MIA","__world__",,,"El curso de la extinción también se ve reflejado en Anapa-Chernobyl pues el estado de guerra más allá de situar a la civilización como víctima, la ubica desde el contexto tanto físico como psíquico del desarrollo técnico.","https://hyp.is/sjD5-EKLEeyG3EMhP3-MIA","https://clientes.programando.li/ibero/chernobil/chernobil.pdf#annotations:sjD5-EKLEeyG3EMhP3-MIA"
